County,Year,Month,Labor Force,Employment,Unemployment,Unemp. Rate
Alameda,2010,January,"785,700","695,900","89,900",11.4%
Alameda,2010,February,"786,600","698,200","88,300",11.2%
Alameda,2010,March,"789,200","700,500","88,700",11.2%
Alameda,2010,April,"783,600","697,600","85,900",11.0%
Alameda,2010,May,"779,400","696,700","82,700",10.6%
Alameda,2010,June,"779,600","693,500","86,100",11.0%
Alameda,2010,July,"784,800","695,700","89,100",11.4%
Alameda,2010,August,"781,500","692,900","88,500",11.3%
Alameda,2010,September,"785,200","700,400","84,800",10.8%
Alameda,2010,October,"780,400","697,200","83,300",10.7%
Alameda,2010,November,"781,700","697,000","84,700",10.8%
Alameda,2010,December,"779,200","698,400","80,800",10.4%
Alameda,2011,January,"775,600","691,400","84,200",10.9%
Alameda,2011,February,"776,400","694,700","81,700",10.5%
Alameda,2011,March,"779,500","698,500","81,100",10.4%
Alameda,2011,April,"776,000","698,800","77,300",10.0%
Alameda,2011,May,"777,600","701,400","76,200",9.8%
Alameda,2011,June,"781,100","698,900","82,100",10.5%
Alameda,2011,July,"788,700","705,800","82,900",10.5%
Alameda,2011,August,"788,500","706,900","81,600",10.3%
Alameda,2011,September,"789,700","710,900","78,800",10.0%
Alameda,2011,October,"790,700","713,700","77,000",9.7%
Alameda,2011,November,"789,200","715,600","73,600",9.3%
Alameda,2011,December,"789,700","718,100","71,600",9.1%
Alameda,2012,January,"786,700","712,800","73,900",9.4%
Alameda,2012,February,"791,200","717,800","73,400",9.3%
Alameda,2012,March,"793,100","720,500","72,600",9.2%
Alameda,2012,April,"788,000","720,600","67,300",8.5%
Alameda,2012,May,"790,500","722,800","67,700",8.6%
Alameda,2012,June,"793,900","721,200","72,600",9.1%
Alameda,2012,July,"802,000","727,500","74,500",9.3%
Alameda,2012,August,"798,600","726,600","71,900",9.0%
Alameda,2012,September,"800,600","734,400","66,300",8.3%
Alameda,2012,October,"803,300","737,100","66,200",8.2%
Alameda,2012,November,"801,900","738,200","63,700",7.9%
Alameda,2012,December,"803,800","740,700","63,100",7.8%
Alameda,2013,January,"800,300","733,100","67,200",8.4%
Alameda,2013,February,"800,400","737,300","63,100",7.9%
Alameda,2013,March,"799,400","738,900","60,500",7.6%
Alameda,2013,April,"795,400","739,400","56,000",7.0%
Alameda,2013,May,"798,100","742,100","55,900",7.0%
Alameda,2013,June,"799,300","737,700","61,600",7.7%
Alameda,2013,July,"808,500","745,900","62,500",7.7%
Alameda,2013,August,"802,800","743,100","59,700",7.4%
Alameda,2013,September,"804,100","747,500","56,700",7.0%
Alameda,2013,October,"800,200","743,900","56,300",7.0%
Alameda,2013,November,"801,300","748,200","53,200",6.6%
Alameda,2013,December,"797,300","747,800","49,500",6.2%
Alameda,2014,January,"797,700","744,800","52,900",6.6%
Alameda,2014,February,"802,800","750,000","52,800",6.6%
Alameda,2014,March,"804,700","752,700","52,000",6.5%
Alameda,2014,April,"796,800","752,100","44,700",5.6%
Alameda,2014,May,"802,500","757,500","44,900",5.6%
Alameda,2014,June,"805,500","757,600","47,900",5.9%
Alameda,2014,July,"814,200","762,600","51,600",6.3%
Alameda,2014,August,"810,200","760,100","50,100",6.2%
Alameda,2014,September,"810,500","764,800","45,700",5.6%
Alameda,2014,October,"814,200","769,300","44,900",5.5%
Alameda,2014,November,"815,800","771,900","43,800",5.4%
Alameda,2014,December,"811,500","771,700","39,800",4.9%
Alameda,2015,January,"811,800","767,800","44,000",5.4%
Alameda,2015,February,"814,100","772,700","41,400",5.1%
Alameda,2015,March,"815,900","775,700","40,200",4.9%
Alameda,2015,April,"813,700","776,000","37,600",4.6%
Alameda,2015,May,"818,900","781,100","37,900",4.6%
Alameda,2015,June,"818,300","778,400","39,900",4.9%
Alameda,2015,July,"825,200","783,300","42,000",5.1%
Alameda,2015,August,"822,500","782,400","40,100",4.9%
Alameda,2015,September,"820,400","783,700","36,700",4.5%
Alameda,2015,October,"822,700","785,400","37,300",4.5%
Alameda,2015,November,"824,000","787,600","36,400",4.4%
Alameda,2015,December,"824,800","790,000","34,800",4.2%
Alameda,2016,January,"867,600","830,500","37,200",4.3%
Alameda,2016,February,"874,600","837,800","36,800",4.2%
Alameda,2016,March,"877,700","840,500","37,200",4.2%
Alameda,2016,April,"871,100","836,000","35,100",4.0%
Alameda,2016,May,"872,900","840,800","32,200",3.7%
Alameda,2016,June,"876,000","837,800","38,200",4.4%
Alameda,2016,July,"884,700","845,300","39,400",4.5%
Alameda,2016,August,"881,200","842,600","38,600",4.4%
Alameda,2016,September,"884,500","847,900","36,600",4.1%
Alameda,2016,October,"884,900","848,600","36,300",4.1%
Alameda,2016,November,"883,500","849,900","33,500",3.8%
Alameda,2016,December,"880,700","848,400","32,300",3.7%
Alameda,2017,January,"881,800","845,400","36,400",4.1%
Alameda,2017,February,"885,600","851,600","34,000",3.8%
Alameda,2017,March,"888,600","856,100","32,500",3.7%
Alameda,2017,April,"879,100","849,400","29,800",3.4%
Alameda,2017,May,"881,200","852,700","28,500",3.2%
Alameda,2017,June,"883,500","850,300","33,200",3.8%
Alameda,2017,July,"892,800","858,000","34,800",3.9%
Alameda,2017,August,"888,000","853,500","34,500",3.9%
Alameda,2017,September,"891,800","861,800","30,100",3.4%
Alameda,2017,October,"886,900","858,400","28,500",3.2%
Alameda,2017,November,"886,000","858,500","27,400",3.1%
Alameda,2017,December,"884,600","858,600","26,000",2.9%
Alameda,2018,January,"880,500","851,600","28,900",3.3%
Alameda,2018,February,"889,000","861,300","27,700",3.1%
Alameda,2018,March,"890,400","864,200","26,200",2.9%
Alameda,2018,April,"883,200","859,300","23,900",2.7%
Alameda,2018,May,"886,700","864,700","22,000",2.5%
Alameda,2018,June,"888,200","860,600","27,600",3.1%
Alameda,2018,July,"895,700","868,300","27,400",3.1%
Alameda,2018,August,"888,100","861,000","27,100",3.1%
Alameda,2018,September,"891,600","866,600","25,000",2.8%
Alameda,2018,October,"891,200","865,700","25,500",2.9%
Alameda,2018,November,"891,400","866,500","24,900",2.8%
Alameda,2018,December,"891,600","866,600","25,000",2.8%
Alameda,2019,January,"880,500","851,600","28,900",3.3%
Alameda,2019,February,"889,000","861,300","27,700",3.1%
Alameda,2019,March,"890,400","864,200","26,200",2.9%
Alameda,2019,April,"883,200","859,300","23,900",2.7%
Alameda,2019,May,"886,700","864,700","22,000",2.5%
Alameda,2019,June,"888,200","860,600","27,600",3.1%
Alameda,2019,July,"895,700","868,300","27,400",3.1%
Alameda,2019,August,"888,100","861,000","27,100",3.1%
Alameda,2019,September,"891,600","866,600","25,000",2.8%
Alameda,2019,October,"891,200","865,700","25,500",2.9%
Alameda,2019,November,"891,400","866,500","24,900",2.8%
Alameda,2019,December,"891,600","866,600","25,000",2.8%
Alameda,2020,January,"888,600","862,100","26,400",3.0%
Alameda,2020,February,"896,800","871,800","25,000",2.8%
Alameda,2020,March,"883,800","846,900","36,900",4.2%
Alameda,2020,April,"846,200","726,900","119,300",14.1%
Alameda,2020,May,"838,600","726,100","112,500",13.4%
Alameda,2020,June,"861,300","756,200","105,100",12.2%
Alameda,2020,July,"862,000","764,000","98,100",11.4%
Alameda,2020,August,"854,800","773,400","81,300",9.5%
Alameda,2020,September,"853,300","775,700","77,500",9.1%
Alameda,2020,October,"850,000","782,700","67,300",7.9%
Alameda,2020,November,"845,100","781,200","64,000",7.6%
Alameda,2020,December,"843,400","781,300","62,200",7.4%
Alameda,2021,January,"835,100","773,900","61,200",7.3%
Alameda,2021,February,"840,300","781,100","59,300",7.1%
Alameda,2021,March,"842,700","786,000","56,600",6.7%
Alameda,2021,April,"838,300","783,200","55,200",6.6%
Alameda,2021,May,"841,100","790,500","50,600",6.0%
