property_sum,violent_sum,year,month,county,unemp. rate
68,19,2010,january,san bernardino county,14.0%
13,1,2010,january,los angeles county,13.0%
147,14,2010,january,alameda county,11.4%
112,5,2010,january,alameda county,11.4%
217,63,2010,january,alameda county,11.4%
1,0,2010,january,alameda county,11.4%
13,0,2010,january,alameda county,11.4%
41,4,2010,january,alameda county,11.4%
206,19,2010,january,los angeles county,13.0%
47,2,2010,january,orange county,10.3%
2,0,2010,january,santa barbara county,11.0%
12,0,2010,january,alpine county,10.3%
8,0,2010,january,modoc county,18.0%
34,6,2010,january,amador county,15.3%
36,6,2010,january,napa county,11.7%
696,81,2010,january,orange county,10.3%
45,8,2010,january,shasta county,18.5%
0,0,2010,january,ventura county,11.5%
8,1,2010,january,calaveras county,15.7%
249,72,2010,january,contra costa county,11.6%
142,18,2010,january,san bernardino county,14.0%
164,9,2010,january,los angeles county,13.0%
63,3,2010,january,humboldt county,11.8%
19,0,2010,january,san luis obispo county,10.7%
14,8,2010,january,los angeles county,13.0%
47,15,2010,january,kern county,17.0%
25,2,2010,january,san luis obispo county,10.7%
0,4,2010,january,san luis obispo county,10.7%
16,1,2010,january,san mateo county,9.0%
141,7,2010,january,merced county,20.6%
26,1,2010,january,placer county,12.3%
8,1,2010,january,los angeles county,13.0%
11,4,2010,january,kings county,17.9%
138,22,2010,january,los angeles county,13.0%
1252,181,2010,january,kern county,17.0%
171,21,2010,january,los angeles county,13.0%
53,16,2010,january,riverside county,14.3%
59,20,2010,january,san bernardino county,14.0%
0,0,2010,january,san mateo county,9.0%
5,0,2010,january,kern county,17.0%
65,11,2010,january,riverside county,14.3%
43,10,2010,january,los angeles county,13.0%
69,17,2010,january,los angeles county,13.0%
165,42,2010,january,los angeles county,13.0%
30,6,2010,january,san mateo county,9.0%
33,5,2010,january,solano county,13.3%
606,40,2010,january,alameda county,11.4%
71,5,2010,january,los angeles county,13.0%
22,4,2010,january,san bernardino county,14.0%
4,0,2010,january,butte county,15.1%
6,1,2010,january,inyo county,10.7%
57,3,2010,january,riverside county,14.3%
1,0,2010,january,los angeles county,13.0%
91,8,2010,january,imperial county,27.0%
112,4,2010,january,orange county,10.3%
80,10,2010,january,contra costa county,11.6%
9,0,2010,january,san mateo county,9.0%
3,0,2010,january,san mateo county,9.0%
5,0,2010,january,santa barbara county,11.0%
185,25,2010,january,orange county,10.3%
236,20,2010,january,los angeles county,13.0%
60,9,2010,january,san mateo county,9.0%
90,16,2010,january,butte county,15.1%
16,1,2010,january,alameda county,11.4%
0,0,2010,january,alpine county,10.3%
3,0,2010,january,amador county,15.3%
21,0,2010,january,butte county,15.1%
11,0,2010,january,calaveras county,15.7%
0,0,2010,january,colusa county,27.5%
70,0,2010,january,contra costa county,11.6%
7,0,2010,january,del norte county,13.8%
8,0,2010,january,el dorado county,13.0%
18,0,2010,january,fresno county,18.1%
0,0,2010,january,glenn county,17.4%
17,0,2010,january,humboldt county,11.8%
8,0,2010,january,imperial county,27.0%
