year,month,county,property_sum,violent_sum,unemp. rate,property_sum_lag9,violent_sum_lag9,unemp. rate_lag9
2010,january,alameda county,147,14,11.4%,,,
2010,january,alameda county,112,5,11.4%,,,
2010,january,alameda county,217,63,11.4%,,,
2010,january,alameda county,1,0,11.4%,,,
2010,january,alameda county,13,0,11.4%,,,
2010,january,alameda county,41,4,11.4%,,,
2010,january,alameda county,606,40,11.4%,,,
2010,january,alameda county,16,1,11.4%,,,
2010,january,alameda county,8,1,11.4%,,,
2010,january,alameda county,84,6,11.4%,147,14,11.4%
2010,january,alameda county,91,10,11.4%,112,5,11.4%
2010,january,alameda county,306,36,11.4%,217,63,11.4%
2010,january,alameda county,326,75,11.4%,1,0,11.4%
2010,january,alameda county,175,30,11.4%,13,0,11.4%
2010,january,alameda county,133,19,11.4%,41,4,11.4%
2010,january,alameda county,1671,452,11.4%,606,40,11.4%
2010,january,alameda county,27,1,11.4%,16,1,11.4%
2010,january,alameda county,89,4,11.4%,8,1,11.4%
2010,january,alameda county,309,33,11.4%,84,6,11.4%
2010,january,alameda county,73,1,11.4%,91,10,11.4%
2010,january,alameda county,158,27,11.4%,306,36,11.4%
2010,january,alameda county,21,0,11.4%,326,75,11.4%
2010,february,alameda county,154,17,11.2%,175,30,11.4%
2010,february,alameda county,66,7,11.2%,133,19,11.4%
2010,february,alameda county,191,61,11.2%,1671,452,11.4%
2010,february,alameda county,1,0,11.2%,27,1,11.4%
2010,february,alameda county,7,0,11.2%,89,4,11.4%
2010,february,alameda county,55,0,11.2%,309,33,11.4%
2010,february,alameda county,507,35,11.2%,73,1,11.4%
2010,february,alameda county,19,0,11.2%,158,27,11.4%
2010,february,alameda county,11,1,11.2%,21,0,11.4%
2010,february,alameda county,69,7,11.2%,154,17,11.2%
2010,february,alameda county,81,11,11.2%,66,7,11.2%
2010,february,alameda county,338,48,11.2%,191,61,11.2%
2010,february,alameda county,298,42,11.2%,1,0,11.2%
2010,february,alameda county,148,24,11.2%,7,0,11.2%
2010,february,alameda county,111,13,11.2%,55,0,11.2%
2010,february,alameda county,1296,433,11.2%,507,35,11.2%
2010,february,alameda county,14,0,11.2%,19,0,11.2%
2010,february,alameda county,86,8,11.2%,11,1,11.2%
2010,february,alameda county,259,20,11.2%,69,7,11.2%
2010,february,alameda county,89,1,11.2%,81,11,11.2%
2010,february,alameda county,132,26,11.2%,338,48,11.2%
2010,february,alameda county,9,0,11.2%,298,42,11.2%
2010,march,alameda county,135,6,11.2%,148,24,11.2%
2010,march,alameda county,108,16,11.2%,111,13,11.2%
2010,march,alameda county,203,74,11.2%,1296,433,11.2%
2010,march,alameda county,0,0,11.2%,14,0,11.2%
2010,march,alameda county,16,0,11.2%,86,8,11.2%
2010,march,alameda county,60,3,11.2%,259,20,11.2%
2010,march,alameda county,535,37,11.2%,89,1,11.2%
2010,march,alameda county,10,0,11.2%,132,26,11.2%
2010,march,alameda county,18,1,11.2%,9,0,11.2%
2010,march,alameda county,55,3,11.2%,135,6,11.2%
2010,march,alameda county,72,13,11.2%,108,16,11.2%
